id,key,value,type
137245689,barrier,no,crossing
137245896,source,Bing,regular
137245896,highway,turning_circle,regular
137245909,highway,turning_circle,regular
137246530,highway,turning_circle,regular
137246581,highway,turning_circle,regular
137246598,highway,turning_circle,regular
137246687,highway,turning_circle,regular
137247229,highway,turning_circle,regular
137247336,source,Bing,regular
137247336,highway,turning_circle,regular
137247359,highway,turning_circle,regular
137247469,highway,traffic_signals,regular
137247469,traffic_signals,signal,regular
137247520,highway,traffic_signals,regular
137247520,traffic_signals,signal,regular
137247531,highway,traffic_signals,regular
137247531,traffic_signals,signal,regular
137247543,highway,traffic_signals,regular
137247582,highway,traffic_signals,regular
137247600,highway,traffic_signals,regular
137247658,highway,traffic_signals,regular
137247658,traffic_signals,signal,regular
137247811,highway,turning_circle,regular
137248165,highway,turning_circle,regular
137248455,highway,turning_circle,regular
137248517,highway,turning_circle,regular
137248621,highway,turning_circle,regular
137249001,highway,turning_circle,regular
137249017,source,Bing,regular
137249017,highway,turning_circle,regular
137249028,highway,traffic_signals,regular
137249100,highway,turning_circle,regular
137249115,highway,turning_circle,regular
137249709,highway,turning_circle,regular
137249926,highway,turning_circle,regular
137250032,source,Bing,regular
137250032,highway,turning_circle,regular
137250459,highway,turning_circle,regular
137250530,highway,turning_circle,regular
137250540,highway,turning_circle,regular
137250715,highway,turning_circle,regular
137250755,highway,turning_circle,regular
137250863,highway,turning_circle,regular
137250943,source,Bing,regular
137250943,highway,turning_circle,regular
137250962,source,Bing,regular
137250962,highway,turning_circle,regular
137250972,highway,turning_circle,regular
137251029,highway,turning_circle,regular
137251037,highway,turning_circle,regular
137251198,highway,turning_circle,regular
137251204,highway,turning_circle,regular
137251222,source,Bing,regular
137251222,highway,turning_circle,regular
137251607,highway,turning_circle,regular
137251901,highway,traffic_signals,regular
137251986,highway,turning_circle,regular
137252000,highway,turning_circle,regular
137252018,ele,498,regular
137252018,name,Rodeo Park,regular
137252018,leisure,park,regular
